TrainLoss,TestLoss
0.07894935458898544,0.10366237
0.07946425676345825,0.10437029
0.08509024232625961,0.10436986
0.0850074291229248,0.10436941
0.07692050188779831,0.10436891
0.0816832184791565,0.10436837
0.08173184096813202,0.10436785
0.08006345480680466,0.104367286
0.07815998047590256,0.104366615
0.07792369276285172,0.104366
0.07802042365074158,0.10436556
0.08125874400138855,0.104364865
0.0818014070391655,0.10436426
0.07816515862941742,0.10436378
0.08417762815952301,0.10436321
0.07884595543146133,0.10436248
0.08662842959165573,0.10436186
0.07894314080476761,0.104361355
0.07993016391992569,0.104360424
0.08509021997451782,0.10435979
0.08893624693155289,0.10435897
0.08109234273433685,0.104357995
0.08289316296577454,0.1043572
0.08481838554143906,0.104356416
0.07858998328447342,0.104355425
0.08304009586572647,0.104354694
0.08047982305288315,0.104353696
0.0831613689661026,0.10435264
